id;quantity;start_date;expiry_date;status
1;23763;2019-12-14;2019-12-13;web-enabled invoice withdrawal
2;53577;2019-12-13;2019-12-14;hacking installation magenta
3;4077;2019-12-13;2019-12-13;Algerian Dinar
4;1658;2019-12-13;2019-12-13;Future-proofed deposit Sausages
5;69093;2019-12-14;2019-12-14;Creative Metal
6;34106;2019-12-13;2019-12-14;Global
7;87733;2019-12-13;2019-12-14;deposit
8;81722;2019-12-13;2019-12-13;Equatorial Guinea Vision-oriented
9;9310;2019-12-13;2019-12-13;Human deposit
10;33902;2019-12-14;2019-12-14;bus Internal AI
